scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
26,269.00900304317474,287.29209089279175,0.0008120536804199219,296.6242685317993,306.9129375219345,0.9999999403953552,274.03861248493195,289.9442343711853,1.0
27,299.9092163220048,313.73826146125793,0.0014195442199707031,290.62257301807404,307.36054277420044,1.0,268.8516715168953,290.875150680542,1.0
28,295.7764849662781,315.34820806980133,0.001384347677230835,283.7846779972315,309.2313494682312,1.0,261.6134728193283,295.11381673812866,1.0
29,286.0596249103546,321.98740100860596,0.00851479172706604,280.18670177459717,315.1710049510002,0.9999996423721313,258.02886986732483,305.33775520324707,1.0
30,268.33300215005875,321.59089064598083,0.04230836033821106,276.18592797219753,320.5318970680237,0.9999964833259583,250.2978434562683,311.89591693878174,0.9999995231628418
31,272.8250560760498,331.3914233446121,0.05642959475517273,274.9490101337433,326.5027651786804,0.999997615814209,248.19348287582397,319.14574098587036,0.999998927116394
32,273.32390880584717,332.02160579152405,0.6804010272026062,275.11740761995316,325.8656919002533,0.9998291730880737,248.43425846099854,321.3824908733368,0.9999998211860657
33,274.53964030742645,326.7676463127136,0.6581985354423523,275.28824812173843,322.5899033546448,0.9999465942382812,253.41576659679413,318.150030374527,0.999997615814209
34,274.86751568317413,326.8190665245056,0.5779093503952026,275.5539857149124,322.38061237335205,0.9999764561653137,253.3716220855713,317.9667658805847,0.9999973773956299
35,268.79545533657074,318.98600912094116,0.914349377155304,274.7237423658371,315.7077015340328,0.999403715133667,250.39893341064453,311.8560080528259,0.999793291091919
36,284.8699077963829,302.53325366973877,0.06709703803062439,280.3815453052521,299.38752967119217,0.9996626377105713,260.4048649072647,293.08871698379517,1.0
37,391.8947684764862,349.79111528396606,0.2326904833316803,285.2194720506668,293.89600682258606,0.9999990463256836,263.98459339141846,285.4665163755417,1.0
38,428.1722341477871,361.684157371521,0.02185043692588806,288.44908022880554,283.9895918155089,0.9999897480010986,267.33467149734497,275.7498228549957,1.0
39,399.50721645355225,339.65987926721573,0.2280658483505249,292.2198392599821,274.65375792980194,0.9999990463256836,271.6074585914612,266.06976306438446,1.0
40,394.02719020843506,333.4658188819885,0.84440016746521,298.8952167034149,265.4898142814636,0.9999892711639404,276.85316932201385,257.27173233032227,1.0
41,392.7398142814636,328.72782254219055,0.9824833869934082,306.35699784755707,258.2049363851547,0.9999993443489075,283.6881880760193,246.69107484817505,1.0
42,398.28926491737366,328.54824662208557,0.679783821105957,309.63774716854095,250.48328864574432,0.9999996423721313,289.55686831474304,236.6218380331993,1.0
43,398.4621982574463,327.6564750671387,0.7819616198539734,319.026389837265,241.89811301231384,1.0,300.99645656347275,227.2190129160881,1.0
44,399.0084173679352,328.86421275138855,0.6527954339981079,328.7619299888611,235.40324664115906,1.0,312.4785990715027,217.35480737686157,1.0
45,397.73680424690247,327.4453136920929,0.7433384656906128,329.0794463157654,235.5648520886898,1.0,312.7865767478943,217.19100904464722,1.0
46,399.33045840263367,331.3830442428589,0.45375320315361023,339.5161108672619,229.0783373117447,1.0,324.8135895729065,208.41244077682495,1.0
47,398.39937448501587,335.9085371494293,0.15930691361427307,348.8003953695297,224.080096244812,1.0,336.3392724990845,204.02952898852527,1.0
48,394.5153543949127,342.52288818359375,0.842461109161377,373.1915098428726,218.72521686553955,1.0,366.5920283794403,195.10223293304443,1.0
49,391.9346203804016,342.96470403671265,0.26459813117980957,385.53657054901123,217.41381311416626,0.9999997615814209,384.4034540653229,195.04880809783936,1.0
50,390.6052100658417,347.4188299179077,0.096281498670578,396.93954461812973,218.15821659564972,0.9999963045120239,401.9640588760376,197.5262073278427,1.0
51,388.588116645813,347.0112429857254,0.01451253890991211,407.6129174232483,220.29064410924911,0.9999998807907104,418.9684708118439,200.40106058120728,1.0
52,395.18437588214874,350.67156863212585,0.01083594560623169,416.2738084793091,223.7374403476715,1.0,431.2105209827423,205.8707365989685,1.0
53,395.1936861872673,351.23078632354736,0.00813785195350647,423.8984248638153,224.0982518196106,1.0,442.3528971672058,209.2741231918335,1.0
54,395.79570965468884,351.1544620990753,0.021071016788482666,425.72999334335327,223.9925627708435,1.0,445.36834502220154,209.16590356826782,1.0
55,390.9491879940033,349.612383723259,0.19149160385131836,420.86502718925476,224.0905055999756,1.0,438.2436566352844,208.77739000320435,1.0
56,390.88430643081665,349.51520478725433,0.12939989566802979,420.23732843995094,223.80348134040833,1.0,438.06969475746155,208.74897050857544,1.0
57,391.28143215179443,349.5095063447952,0.22983646392822266,412.2916855812073,221.34558868408203,0.9999997019767761,426.9501280784607,203.12502336502075,1.0
58,393.44403171539307,347.75125546753407,0.8923507928848267,400.61233711242676,218.5269340276718,0.9999996423721313,411.1784915924072,199.0635585784912,1.0
59,395.16999834775925,348.9608766436577,0.8729544281959534,389.32082438468933,218.62156343460083,0.999839186668396,393.7722759246826,197.548281788826,1.0
60,396.4193657040596,346.6020141839981,0.11997509002685547,362.0066056251526,222.86041116714478,1.0,355.5716824233532,195.8829312324524,1.0
61,398.864768743515,336.04091715812683,0.16366079449653625,350.17918395996094,223.06732082366943,1.0,337.5116500854492,198.19204425811768,1.0
62,400.1271667480469,329.8966634273529,0.9311610460281372,338.1092404127121,226.27151489257812,1.0,323.83026456832886,200.3600835800171,1.0
